What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
"Academic success to me means performing well, getting good grades etc. ","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,3,7,6,1,5,8,2,4,Maybe,,,,Both,,No,,"It's kind of expensive to go back to school, i already have a bachelors degree but i need to go back. ","No, none of these statements relate to me",Somewhat more,"I think it would take more financial impact on me, if i fail or pass i still have to pay tuition","Happy,Relieved,Gratified,Dignified,Proud","Angry,Stressed,Anxious,Nervous","Projects,Time management,Balancing stress,Independent Studies/Passion Projects",I am currently not in college,Private institution,No,Yes,I cannot remember,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,7,6
It means growing as a person as I advance through the system.,"Getting good grades,Career preparation,Pursuing knowledge/answers",,1,2,4,6,7,8,5,3,Yes,Myself,,,Stressed,,Like somewhat,Things are just a struggle to stay motivated and focused.,,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,I would be denied opportunities.,"Relieved,Proud","Annoyed,Angry,Stressed","Tests,Projects",Third year or equivalent,Public institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No.,5,3
Completing my studies sucessfully in order to enrich my knowledge.,"Getting good grades,Time management,Pursuing knowledge/answers",,6,2,5,4,8,7,3,1,Yes,Myself,,,Both,,Yes,I have been able to adjust and get the support needed to further my knowledge. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would not have the experience I need to be adequite in my studies.,"Happy,Gratified,Proud",Stressed,"Projects,Independent Studies/Passion Projects",Third year or equivalent,Public institution,No,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",N/A,5,7
"Academic success is achieving the educational goals you made for yourself, including good grades, and then using that knowledge to be successful in life.","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers,Other","My academic goals right now are to maintain good grades, retain what I'm learning, and complete my degree in sociology and move on to obtaining a degree in social work. Then, I plan on using what I have learned and what I already know, to help the less fortunate.",6,4,7,2,5,8,3,1,Yes,Myself,,,Both,,Yes,"I feel this way because of I were to need help with something, I can always talk to me at my school. Besides that, I have drive like no other. If I want something, and I set my mind to it, the sky is the limit.",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,"This would effect my future tremendously. The more I learn, the better I will be able to help get the homeless off of the streets, successfully. The less likely I would be able to help drug addicts get sober and stay that way. ","Happy,Gratified,Dignified,Proud","Annoyed,Angry,Stressed,Anxious,Nervous","Tests,Time management,Balancing stress",Second year or equivalent,Public institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school","My college education is coming late in life, although it is never too late. My career choice comes from experiencing homelessness and addiction, and I want to do all I can to help those in that situation and give them a fighting chance. I want to pay it forward and help people, like someone helped me.",3,2
"To me, academic success means learning new material and applying it accurately to both assignments and in things like projects or other career-oriented activities. It does mean good grades to me, but it also means truly understanding the material you are learning, not just for an exam.","Getting good grades,Career preparation,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,3,8,7,2,6,4,5,1,Yes,Myself,,,Both,,Yes,There are resources at my university available to help students psychologically and academically. I think the harder part is actually reaching out and using them.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"I don't think it would permanently harm my future, but some internships ask for GPA or transcripts, and I think internships are important for early career/entry-level roles","Happy,Relieved,Proud,Confused","Annoyed,Stressed,Anxious,Nervous,Stuck","Projects,Impressing your parents/guardians,Attaining top grades",Third year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,6,6
Academic success to me means having a good balance between your school life and personal life where you still achieve good grades and results that turns into progress and growth.,"Getting good grades,Time management,Balancing stress",,5,2,1,6,8,7,4,3,Yes,Family,,,Both,,Like somewhat,There's ways I could have more help but I know I'm privileged enough to even achieve and receive academic support.,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,I wouldn't have been able to leave my city ,"Happy,Relieved,Proud","Annoyed,Stressed,Stuck","Tests,Time management,Attaining top grades",Third year or equivalent,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,6,5
Good grades and academic recognition,Pursuing knowledge/answers,,4,2,3,6,7,8,5,1,Yes,Myself,,,Both,,Yes,There are plenty of people within and outside of the school to talk to,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,Potential bad grades and failure can affect future school opportunities and ultimately career options,"Happy,Gratified,Proud","Confused,Annoyed,Stressed","Attaining top grades,Awards/Recognition,Independent Studies/Passion Projects",Fourth year of equivalent,Private institution,Yes,,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,7,7
Academic success is genuinely understanding the class materials beyond good grades and retaining that knowledge outside the classroom.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers,Other",I feel like I'm running out of time to accomplish them. My academic goals right now is trying to stay afloat in my classes and balance everything.,3,7,4,6,8,5,1,2,Yes,Career Goals,,,Stressed,,Like somewhat,"Somewhat because I feel like while they are there, there are way too many other students competing with me for those same resources and opportunities.",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Much more,I would not be able to get into the masters program I want and thus have to settle for a mediocre job or go back to school.,"Happy,Relieved,Dignified","Confused,Stressed,Anxious,Nervous,Stuck",Nothing on this list stands out,Third year or equivalent,Public institution,Yes,Yes,Top 1% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",No thank you.,4,4
It means getting good grades and passing classes. ,"Getting good grades,Career preparation,Pursuing knowledge/answers",,1,4,5,6,7,8,3,2,Yes,Myself,,,Both,,Yes,I have a subscription to a tutoring service. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,It would make me feel unmotivated and not able to accomplish my goals. ,"Happy,Gratified,Proud","Stressed,Anxious","Major assignments,Time management,Internship/Career-oriented work",Third year or equivalent,Public institution,No,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",None thank you,7,6
Passing my classes and learning meaningful content.,"Getting good grades,Pursuing knowledge/answers",,2,3,4,7,8,5,6,1,Yes,Myself,,,Stressed,,Yes,I have myself to blame if I have not succeeded. My school provides many resources. ,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",About the same,I would feel bad about myself.,Relieved,"Annoyed,Stressed,Anxious",Balancing stress,First year or equivalent,Private institution,Yes,,Top 25% of the class,I don't remember what my career ambitions where in high school,,3,3
Doing well in school,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,2,3,4,6,7,8,5,1,Yes,Myself,,,Both,,Like somewhat,I can’t always afford materials or opportunity,,"No, none of these statements relate to me",Somewhat more,My career aspirations rely on me doing well in school,"Happy,Relieved,Gratified,Dignified,Proud","Angry,Stressed,Anxious,Nervous,Stuck","Tests,Projects,Attaining top grades",Fourth year of equivalent,Private institution,Yes,,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,3,3
In my opinion it means to understand what you are learning.,"Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation",,1,3,6,7,4,8,2,5,Yes,Career Goals,,,Stressed,,Like somewhat,"Because when I think about the future and what career I want to go in, I still did not decide ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,It will effect me physically and mentally it will not give me the confidence and courage to finish my career ,"Happy,Relieved,Proud","Confused,Stressed,Nervous,Stuck","Tests,Independent Studies/Passion Projects",Second year or equivalent,Community college,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,5,10
